title,domain,required_skills,tools,difficulty,description,career_alignment,tags,estimated_days,resources
Sentiment Analysis on Twitter,AI/ML,"python,nlp,machine learning,pandas,sklearn","Jupyter,VS Code",Intermediate,"Build a model to classify tweet sentiments as positive negative or neutral","Data Scientist,ML Engineer","nlp,classification,text,sentiment",30,https://kaggle.com
Image Classifier with CNN,AI/ML,"python,deep learning,tensorflow,numpy,opencv","Jupyter,Google Colab",Advanced,"Train a convolutional neural network to classify images into categories","ML Engineer,AI Researcher","cnn,image,deep learning,tensorflow",45,https://tensorflow.org
Chatbot with NLP,AI/ML,"python,nlp,flask,machine learning,json","VS Code,Jupyter",Intermediate,"Build a rule-based and ML-powered chatbot for FAQs","ML Engineer,Data Scientist","nlp,chatbot,flask,text",35,https://nltk.org
House Price Prediction,AI/ML,"python,machine learning,pandas,sklearn,numpy","Jupyter,VS Code",Beginner,"Predict house prices using regression models on real estate data","Data Scientist,Data Analyst","regression,prediction,sklearn,pandas",20,https://kaggle.com
Fake News Detector,AI/ML,"python,nlp,sklearn,pandas,machine learning","Jupyter,VS Code",Intermediate,"Classify news articles as real or fake using NLP techniques","Data Scientist,ML Engineer","nlp,classification,fake news,text",28,https://kaggle.com
Stock Price Predictor,AI/ML,"python,machine learning,pandas,numpy,matplotlib","Jupyter,VS Code",Advanced,"Use LSTM or linear models to predict stock market trends","Data Scientist,Quantitative Analyst","time series,lstm,finance,prediction",40,https://kaggle.com
Customer Churn Prediction,AI/ML,"python,machine learning,pandas,sklearn,seaborn","Jupyter,VS Code",Intermediate,"Predict which customers are likely to leave a subscription service","Data Scientist,Business Analyst","classification,churn,sklearn,business",25,https://kaggle.com
Recommendation System,AI/ML,"python,machine learning,pandas,sklearn,numpy","Jupyter,VS Code",Advanced,"Build a collaborative filtering movie or product recommendation engine","ML Engineer,Data Scientist","recommendation,collaborative filtering,matrix",38,https://surprise.readthedocs.io
Portfolio Website,Web Dev,"html,css,javascript","VS Code,Figma",Beginner,"Build a personal portfolio to showcase projects and skills","Frontend Developer,Full Stack Developer","web,design,portfolio,html,css",7,https://freecodecamp.org
E-commerce Website,Web Dev,"html,css,javascript,react,nodejs","VS Code,Figma",Intermediate,"Full featured online store with cart login and payment integration","Full Stack Developer,Frontend Developer","react,ecommerce,nodejs,css",40,https://reactjs.org
Blog Platform,Web Dev,"html,css,javascript,nodejs,mongodb","VS Code,Postman",Intermediate,"Build a blogging platform with user auth posts and comments","Full Stack Developer,Backend Developer","node,mongo,blog,auth",30,https://nodejs.org
Weather App,Web Dev,"html,css,javascript,api","VS Code",Beginner,"Fetch and display real-time weather data using a public API","Frontend Developer","javascript,api,weather,html,css",10,https://openweathermap.org
Quiz App,Web Dev,"html,css,javascript,react","VS Code",Beginner,"Interactive quiz application with scoring and timer","Frontend Developer,Full Stack Developer","react,javascript,quiz,ui",12,https://reactjs.org
URL Shortener,Web Dev,"python,flask,sql,html,css","VS Code,Postman",Intermediate,"Build a URL shortening service with analytics dashboard","Backend Developer,Full Stack Developer","flask,sql,api,web",18,https://flask.palletsprojects.com
E-commerce REST API,Backend,"python,flask,sql,rest api,authentication","VS Code,Postman",Intermediate,"Design and build a product API with auth CRUD and pagination","Backend Developer,Full Stack Developer","api,flask,database,rest",21,https://flask.palletsprojects.com
Task Management API,Backend,"python,flask,sqlalchemy,rest api","VS Code,Postman",Beginner,"Build a to-do and task management REST API with user accounts","Backend Developer","api,flask,sql,rest,tasks",15,https://flask.palletsprojects.com
Real-time Chat App,Backend,"python,flask,socketio,javascript,html","VS Code",Advanced,"Build a real-time messaging app using WebSockets and Flask-SocketIO","Full Stack Developer,Backend Developer","websocket,chat,realtime,flask",35,https://flask-socketio.readthedocs.io
File Upload Service,Backend,"python,flask,sql,html,css","VS Code,Postman",Intermediate,"Build a secure file upload and management service with cloud storage","Backend Developer,DevOps Engineer","flask,storage,api,file",20,https://flask.palletsprojects.com
Intrusion Detection System,Cybersecurity,"python,networking,machine learning,pandas,sklearn","Wireshark,Python",Advanced,"Detect anomalous network activity using ML classification models","Security Analyst,ML Engineer","security,networking,anomaly,ids",45,https://kaggle.com
Password Manager CLI,Cybersecurity,"python,cryptography,sqlite","VS Code,Terminal",Intermediate,"Build a command line password manager with AES encryption","Security Engineer,Backend Developer","encryption,cryptography,cli,security",22,https://cryptography.io
